FIFA Season,Team,ATT,MID,DEF,OVR
5,Arsenal,92,91,89,90
5,Manchester United,91,90,85,88
5,Chelsea,87,88,86,87
5,Liverpool,88,86,82,84
5,Newcastle United,85,83,76,81
5,Middlesbrough,82,79,79,80
5,Fulham,78,76,77,78
5,Tottenham Hotspur,81,76,75,77
5,Manchester City,81,76,74,77
5,Birmingham City,80,76,77,77
5,Aston Villa,79,74,77,77
5,Charlton Athletic,76,79,75,77
5,Bolton Wanderers,74,79,73,76
5,Blackburn Rovers,72,78,75,76
5,Southampton,80,72,73,75
5,Portsmouth,78,73,75,75
5,Everton,72,75,74,75
5,West Bromwich Albion,78,72,71,73
5,Norwich City,74,72,73,73
5,Crystal Palace,69,68,72,69
6,Chelsea,87,88,85,87
6,Manchester United,92,85,84,86
6,Arsenal,90,84,86,86
6,Liverpool,90,87,81,85
6,Newcastle United,86,80,76,80
6,Middlesbrough,83,79,79,80
6,Everton,80,80,80,80
6,Tottenham Hotspur,83,79,76,79
6,Aston Villa,84,75,77,78
6,Manchester City,80,77,78,78
6,Birmingham City,76,76,75,76
6,Bolton Wanderers,79,77,70,75
6,Fulham,73,78,74,75
6,Blackburn Rovers,78,72,73,74
6,Portsmouth,76,71,75,74
6,West Bromwich Albion,74,73,71,73
6,Charlton Athletic,70,77,73,73
6,West Ham United,70,73,71,73
6,Wigan Athletic,75,68,72,70
6,Sunderland,72,66,65,68
7,Chelsea,86,86,83,84
7,Manchester United,88,84,82,82
7,Arsenal,84,82,81,82
7,Liverpool,82,83,81,81
7,Newcastle United,83,79,74,79
7,Tottenham Hotspur,83,78,80,79
7,Everton,80,77,76,77
7,Blackburn Rovers,79,78,76,77
7,Manchester City,79,76,75,77
7,Middlesbrough,81,78,74,76
7,West Ham United,80,78,76,76
7,Bolton Wanderers,79,76,75,76
7,Charlton Athletic,80,73,75,75
7,Aston Villa,79,74,73,75
7,Fulham,78,76,76,75
7,Portsmouth,76,76,75,75
7,Wigan Athletic,76,70,73,74
7,Sheffield United,79,70,71,72
7,Reading,73,75,66,71
7,Watford,71,70,69,68
8,Manchester United,89,86,83,83
8,Chelsea,87,84,83,83
8,Liverpool,85,83,82,81
8,Arsenal,84,83,81,80
8,Tottenham Hotspur,84,80,79,78
8,Newcastle United,82,76,76,77
8,Blackburn Rovers,82,79,76,76
8,Everton,79,80,79,76
8,Portsmouth,79,77,77,76
8,West Ham United,77,79,76,76
8,Middlesbrough,79,78,76,75
8,Manchester City,78,75,76,75
8,Aston Villa,76,80,72,75
8,Bolton Wanderers,76,76,75,75
8,Reading,79,74,74,74
8,Fulham,76,76,73,74
8,Birmingham City,77,73,72,72
8,Wigan Athletic,73,73,72,72
8,Sunderland,72,72,70,71
8,Derby County,74,67,68,69
9,Chelsea,87,85,84,84
9,Manchester United,86,85,84,84
9,Arsenal,85,83,83,81
9,Liverpool,85,83,80,81
9,Manchester City,82,79,78,79
9,Tottenham Hotspur,80,80,79,79
9,Everton,82,75,78,78
9,Aston Villa,81,81,77,78
9,Newcastle United,81,76,76,76
9,Portsmouth,78,79,76,76
9,Blackburn Rovers,78,76,76,76
9,West Ham United,76,76,76,76
9,Sunderland,78,74,72,75
9,Middlesbrough,80,75,73,74
9,Fulham,80,74,72,74
9,Bolton Wanderers,75,75,72,74
9,Wigan Athletic,75,74,71,73
9,Hull City,70,68,68,71
9,West Bromwich Albion,68,71,69,71
9,Stoke City,75,68,67,70
10,Chelsea,85,84,84,83
10,Liverpool,88,82,81,82
10,Manchester United,86,81,84,82
10,Arsenal,85,82,82,81
10,Manchester City,84,80,80,81
10,Aston Villa,82,79,76,79
10,Tottenham Hotspur,81,78,78,79
10,Everton,80,77,79,79
10,Fulham,76,76,77,76
10,West Ham United,76,76,75,76
10,Sunderland,78,77,74,75
10,Bolton Wanderers,77,75,73,75
10,Blackburn Rovers,75,75,75,75
10,Portsmouth,75,74,74,75
10,Wigan Athletic,74,74,74,74
10,Birmingham City,73,75,71,74
10,Stoke City,76,72,75,73
10,Hull City,70,72,73,73
10,Burnley,75,72,70,72
10,Wolverhampton Wanderers,75,72,69,72
11,Chelsea,85,84,83,83
11,Manchester United,85,82,82,82
11,Manchester City,84,81,80,82
11,Arsenal,84,84,80,81
11,Liverpool,83,81,81,80
11,Tottenham Hotspur,80,81,79,80
11,Everton,80,79,78,78
11,Aston Villa,78,80,78,78
11,Fulham,79,76,77,77
11,Birmingham City,77,77,76,76
11,Sunderland,77,74,75,75
11,Bolton Wanderers,76,76,75,75
11,Blackburn Rovers,75,75,75,75
11,West Ham United,74,76,74,75
11,Stoke City,76,73,75,74
11,Newcastle United,75,73,71,74
11,Wolverhampton Wanderers,76,72,73,73
11,West Bromwich Albion,74,68,70,73
11,Wigan Athletic,71,74,72,73
11,Blackpool,70,70,69,69
12,Manchester City,83,85,81,83
12,Manchester United,84,83,80,82
12,Chelsea,84,81,82,82
12,Arsenal,84,80,81,81
12,Tottenham Hotspur,82,84,79,81
12,Liverpool,81,79,80,80
12,Newcastle United,81,78,76,77
12,Fulham,80,76,74,76
12,Stoke City,76,75,75,76
12,Aston Villa,76,75,75,76
12,Everton,69,76,77,76
12,Queens Park Rangers,79,76,75,75
12,Sunderland,78,75,74,75
12,Wolverhampton Wanderers,77,73,73,74
12,Blackburn Rovers,74,75,73,74
12,Bolton Wanderers,72,74,72,74
12,West Bromwich Albion,76,73,72,73
12,Swansea City,74,73,71,73
12,Wigan Athletic,71,71,73,72
12,Norwich City,74,71,69,71
13,Manchester United,86,81,82,82
13,Manchester City,85,83,80,82
13,Chelsea,82,80,81,81
13,Tottenham Hotspur,82,78,79,80
13,Arsenal,80,79,80,80
13,Liverpool,76,80,79,79
13,Newcastle United,81,77,77,77
13,Fulham,78,75,75,77
13,Everton,74,76,77,76
13,Queens Park Rangers,77,73,74,75
13,Sunderland,75,73,74,75
13,Stoke City,74,74,75,75
13,Aston Villa,74,72,71,75
13,West Ham United,75,74,72,74
13,West Bromwich Albion,74,74,71,74
13,Swansea City,74,73,73,74
13,Wigan Athletic,74,72,72,74
13,Southampton,73,74,71,73
13,Norwich City,72,73,73,73
13,Reading,72,69,71,71
14,Manchester United,85,79,80,82
14,Manchester City,84,83,81,82
14,Chelsea,81,82,81,82
14,Arsenal,79,81,80,80
14,Tottenham Hotspur,77,80,78,80
14,Liverpool,76,79,78,80
14,Everton,78,78,78,78
14,Swansea City,79,74,75,76
14,Newcastle United,78,75,76,76
14,Southampton,76,76,73,75
14,Fulham,71,74,72,75
14,West Ham United,76,74,72,74
14,Stoke City,76,73,73,74
14,Norwich City,74,74,74,74
14,Sunderland,74,73,73,74
14,Aston Villa,72,71,74,74
14,West Bromwich Albion,70,74,72,74
14,Hull City,72,71,71,72
14,Cardiff City,72,70,73,72
14,Crystal Palace,71,72,71,72
15,Chelsea,82,82,81,83
15,Manchester City,83,82,81,82
15,Manchester United,85,80,75,81
15,Arsenal,80,80,77,80
15,Liverpool,79,78,75,79
15,Everton,78,78,78,78
15,Tottenham Hotspur,78,77,77,78
15,Southampton,77,75,76,76
15,Stoke City,76,75,74,76
15,Swansea City,77,74,74,75
15,West Ham United,75,74,72,75
15,Newcastle United,74,75,74,75
15,Queens Park Rangers,74,74,71,75
15,Aston Villa,72,74,74,75
15,Sunderland,76,73,72,74
15,West Bromwich Albion,74,74,71,74
15,Hull City,75,73,70,73
15,Crystal Palace,73,73,73,73
15,Leicester City,71,72,68,72
15,Burnley,71,70,71,70
16,Chelsea,81,82,82,83
16,Manchester City,84,82,81,82
16,Arsenal,82,79,80,82
16,Manchester United,69,80,77,81
16,Tottenham Hotspur,82,78,79,79
16,Liverpool,81,79,79,79
16,Everton,78,78,80,78
16,Newcastle United,77,77,75,77
16,Stoke City,76,78,76,77
16,Southampton,76,76,76,77
16,West Ham United,76,76,74,77
16,Swansea City,77,76,76,76
16,Leicester City,76,77,75,76
16,Crystal Palace,75,76,75,76
16,Watford,77,74,74,75
16,Sunderland,77,74,74,75
16,West Bromwich Albion,76,73,73,75
16,Aston Villa,74,74,74,75
16,Norwich City,78,74,73,74
16,Bournemouth,72,74,72,73
17,Chelsea,86,84,81,83
17,Manchester United,84,84,82,83
17,Manchester City,83,85,81,83
17,Arsenal,81,83,82,83
17,Tottenham Hotspur,85,81,81,81
17,Liverpool,82,81,81,81
17,Everton,85,78,79,80
17,Leicester City,79,78,76,78
17,West Ham United,79,77,77,78
17,Southampton,78,76,77,78
17,Stoke City,77,78,77,78
17,Crystal Palace,80,77,76,77
17,Watford,78,78,76,77
17,Swansea City,78,76,75,77
17,Sunderland,81,76,73,76
17,West Bromwich Albion,81,76,74,75
17,Hull City,76,74,75,75
17,Middlesbrough,76,74,74,75
17,Bournemouth,74,75,74,74
17,Burnley,74,74,76,74
18,Manchester City,85,87,83,84
18,Tottenham Hotspur,85,83,82,83
18,Manchester United,85,83,81,83
18,Chelsea,84,86,82,83
18,Arsenal,84,80,81,82
18,Liverpool,85,81,80,81
18,Everton,77,80,79,79
18,Leicester City,79,79,76,78
18,West Ham United,79,76,74,77
18,Watford,78,77,75,77
18,Burnley,76,77,78,77
18,Crystal Palace,79,76,76,76
18,West Bromwich Albion,79,75,77,76
18,Southampton,76,77,75,76
18,Bournemouth,76,75,75,76
18,Stoke City,75,76,76,76
18,Newcastle United,76,75,76,75
18,Swansea City,76,75,74,75
